# Time          7.5000E+01
# Units: Dimensionless
    Distance         pH
  2.0000E-03    1.0340E+01
  6.0000E-03    1.0814E+01
  1.0000E-02    1.1035E+01
  1.4000E-02    1.1180E+01
  1.8000E-02    1.1288E+01
  2.2000E-02    1.1375E+01
  2.6000E-02    1.1447E+01
  3.0000E-02    1.1508E+01
  3.4000E-02    1.1562E+01
  3.8000E-02    1.1609E+01
  4.2000E-02    1.1652E+01
  4.6000E-02    1.1691E+01
  5.0000E-02    1.1726E+01
  5.4000E-02    1.1759E+01
  5.8000E-02    1.1789E+01
  6.2000E-02    1.1818E+01
  6.6000E-02    1.1844E+01
  7.0000E-02    1.1869E+01
  7.4000E-02    1.1892E+01
  7.8000E-02    1.1914E+01
  8.2000E-02    1.1936E+01
  8.6000E-02    1.1955E+01
  9.0000E-02    1.1975E+01
  9.4000E-02    1.1993E+01
  9.8000E-02    1.2010E+01
  1.0200E-01    1.2027E+01
  1.0600E-01    1.2043E+01
  1.1000E-01    1.2058E+01
  1.1400E-01    1.2073E+01
  1.1800E-01    1.2087E+01
  1.2200E-01    1.2101E+01
  1.2600E-01    1.2114E+01
  1.3000E-01    1.2127E+01
  1.3400E-01    1.2140E+01
  1.3800E-01    1.2152E+01
  1.4200E-01    1.2164E+01
  1.4600E-01    1.2175E+01
  1.5000E-01    1.2186E+01
  1.5400E-01    1.2197E+01
  1.5800E-01    1.2207E+01
  1.6200E-01    1.2217E+01
  1.6600E-01    1.2227E+01
  1.7000E-01    1.2237E+01
  1.7400E-01    1.2246E+01
  1.7800E-01    1.2255E+01
  1.8200E-01    1.2264E+01
  1.8600E-01    1.2273E+01
  1.9000E-01    1.2282E+01
  1.9400E-01    1.2290E+01
  1.9800E-01    1.2298E+01
  2.0200E-01    1.2306E+01
  2.0600E-01    1.2314E+01
  2.1000E-01    1.2322E+01
  2.1400E-01    1.2329E+01
  2.1800E-01    1.2337E+01
  2.2200E-01    1.2344E+01
  2.2600E-01    1.2351E+01
  2.3000E-01    1.2358E+01
  2.3400E-01    1.2365E+01
  2.3800E-01    1.2371E+01
  2.4200E-01    1.2378E+01
  2.4600E-01    1.2384E+01
  2.5000E-01    1.2391E+01
  2.5400E-01    1.2397E+01
  2.5800E-01    1.2403E+01
  2.6200E-01    1.2409E+01
  2.6600E-01    1.2415E+01
  2.7000E-01    1.2421E+01
  2.7400E-01    1.2426E+01
  2.7800E-01    1.2432E+01
  2.8200E-01    1.2437E+01
  2.8600E-01    1.2443E+01
  2.9000E-01    1.2448E+01
  2.9400E-01    1.2453E+01
  2.9800E-01    1.2459E+01
  3.0200E-01    1.2464E+01
  3.0600E-01    1.2469E+01
  3.1000E-01    1.2474E+01
  3.1400E-01    1.2479E+01
  3.1800E-01    1.2483E+01
  3.2200E-01    1.2488E+01
  3.2600E-01    1.2493E+01
  3.3000E-01    1.2497E+01
  3.3400E-01    1.2502E+01
  3.3800E-01    1.2506E+01
  3.4200E-01    1.2511E+01
  3.4600E-01    1.2515E+01
  3.5000E-01    1.2520E+01
  3.5400E-01    1.2524E+01
  3.5800E-01    1.2528E+01
  3.6200E-01    1.2532E+01
  3.6600E-01    1.2536E+01
  3.7000E-01    1.2540E+01
  3.7400E-01    1.2544E+01
  3.7800E-01    1.2548E+01
