# Time          5.0000E+02
# Units: Permil
    Distance        SO4--            SO164--         
    2.0000000E-03    2.1052541E+01    8.7518302E+00
    6.0000000E-03    2.1157511E+01    8.8976741E+00
    1.0000000E-02    2.1262513E+01    9.0419637E+00
    1.4000000E-02    2.1367546E+01    9.1847131E+00
    1.8000000E-02    2.1472612E+01    9.3259361E+00
    2.2000000E-02    2.1577709E+01    9.4656465E+00
    2.6000000E-02    2.1682839E+01    9.6038582E+00
    3.0000000E-02    2.1788001E+01    9.7405846E+00
    3.4000000E-02    2.1893195E+01    9.8758394E+00
    3.8000000E-02    2.1998421E+01    1.0009636E+01
    4.2000000E-02    2.2103680E+01    1.0141988E+01
    4.6000000E-02    2.2208971E+01    1.0272908E+01
    5.0000000E-02    2.2314295E+01    1.0402409E+01
    5.4000000E-02    2.2419651E+01    1.0530505E+01
    5.8000000E-02    2.2525040E+01    1.0657209E+01
    6.2000000E-02    2.2630462E+01    1.0782533E+01
    6.6000000E-02    2.2735917E+01    1.0906490E+01
    7.0000000E-02    2.2841405E+01    1.1029093E+01
    7.4000000E-02    2.2946926E+01    1.1150354E+01
    7.8000000E-02    2.3052480E+01    1.1270286E+01
    8.2000000E-02    2.3158067E+01    1.1388901E+01
    8.6000000E-02    2.3263688E+01    1.1506212E+01
    9.0000000E-02    2.3369341E+01    1.1622231E+01
    9.4000000E-02    2.3475029E+01    1.1736969E+01
    9.8000000E-02    2.3580750E+01    1.1850439E+01
    1.0200000E-01    2.3686504E+01    1.1962653E+01
    1.0600000E-01    2.3792292E+01    1.2073623E+01
    1.1000000E-01    2.3898114E+01    1.2183361E+01
    1.1400000E-01    2.4003970E+01    1.2291877E+01
    1.1800000E-01    2.4109860E+01    1.2399184E+01
    1.2200000E-01    2.4215784E+01    1.2505293E+01
    1.2600000E-01    2.4321742E+01    1.2610216E+01
    1.3000000E-01    2.4427734E+01    1.2713964E+01
    1.3400000E-01    2.4533761E+01    1.2816548E+01
    1.3800000E-01    2.4639822E+01    1.2917979E+01
    1.4200000E-01    2.4745918E+01    1.3018269E+01
    1.4600000E-01    2.4852048E+01    1.3117428E+01
    1.5000000E-01    2.4958212E+01    1.3215467E+01
    1.5400000E-01    2.5064412E+01    1.3312398E+01
    1.5800000E-01    2.5170646E+01    1.3408230E+01
    1.6200000E-01    2.5276915E+01    1.3502974E+01
    1.6600000E-01    2.5383219E+01    1.3596642E+01
    1.7000000E-01    2.5489559E+01    1.3689243E+01
    1.7400000E-01    2.5595933E+01    1.3780788E+01
    1.7800000E-01    2.5702343E+01    1.3871287E+01
    1.8200000E-01    2.5808788E+01    1.3960751E+01
    1.8600000E-01    2.5915268E+01    1.4049189E+01
    1.9000000E-01    2.6021784E+01    1.4136611E+01
    1.9400000E-01    2.6128336E+01    1.4223029E+01
    1.9800000E-01    2.6234923E+01    1.4308451E+01
    2.0200000E-01    2.6341547E+01    1.4392887E+01
    2.0600000E-01    2.6448206E+01    1.4476348E+01
    2.1000000E-01    2.6554901E+01    1.4558842E+01
    2.1400000E-01    2.6661632E+01    1.4640380E+01
    2.1800000E-01    2.6768399E+01    1.4720971E+01
    2.2200000E-01    2.6875202E+01    1.4800624E+01
    2.2600000E-01    2.6982042E+01    1.4879349E+01
    2.3000000E-01    2.7088918E+01    1.4957155E+01
    2.3400000E-01    2.7195831E+01    1.5034052E+01
    2.3800000E-01    2.7302780E+01    1.5110048E+01
    2.4200000E-01    2.7409766E+01    1.5185152E+01
    2.4600000E-01    2.7516789E+01    1.5259374E+01
    2.5000000E-01    2.7623849E+01    1.5332722E+01
    2.5400000E-01    2.7730945E+01    1.5405206E+01
    2.5800000E-01    2.7838079E+01    1.5476834E+01
    2.6200000E-01    2.7945250E+01    1.5547614E+01
    2.6600000E-01    2.8052458E+01    1.5617556E+01
    2.7000000E-01    2.8159703E+01    1.5686668E+01
    2.7400000E-01    2.8266986E+01    1.5754959E+01
    2.7800000E-01    2.8374306E+01    1.5822436E+01
    2.8200000E-01    2.8481664E+01    1.5889109E+01
    2.8600000E-01    2.8589060E+01    1.5954985E+01
    2.9000000E-01    2.8696493E+01    1.6020073E+01
    2.9400000E-01    2.8803965E+01    1.6084381E+01
    2.9800000E-01    2.8911474E+01    1.6147917E+01
    3.0200000E-01    2.9019021E+01    1.6210689E+01
    3.0600000E-01    2.9126607E+01    1.6272704E+01
    3.1000000E-01    2.9234231E+01    1.6333972E+01
    3.1400000E-01    2.9341893E+01    1.6394499E+01
    3.1800000E-01    2.9449593E+01    1.6454293E+01
    3.2200000E-01    2.9557332E+01    1.6513363E+01
    3.2600000E-01    2.9665110E+01    1.6571715E+01
    3.3000000E-01    2.9772927E+01    1.6629357E+01
    3.3400000E-01    2.9880782E+01    1.6686296E+01
    3.3800000E-01    2.9988676E+01    1.6742541E+01
    3.4200000E-01    3.0096610E+01    1.6798098E+01
    3.4600000E-01    3.0204582E+01    1.6852975E+01
    3.5000000E-01    3.0312594E+01    1.6907179E+01
    3.5400000E-01    3.0420645E+01    1.6960716E+01
    3.5800000E-01    3.0528735E+01    1.7013595E+01
    3.6200000E-01    3.0636865E+01    1.7065822E+01
    3.6600000E-01    3.0745034E+01    1.7117404E+01
    3.7000000E-01    3.0853243E+01    1.7168348E+01
    3.7400000E-01    3.0961492E+01    1.7218661E+01
    3.7800000E-01    3.1069781E+01    1.7268350E+01
    3.8200000E-01    3.1178110E+01    1.7317421E+01
    3.8600000E-01    3.1286479E+01    1.7365881E+01
    3.9000000E-01    3.1394888E+01    1.7413737E+01
    3.9400000E-01    3.1503337E+01    1.7460995E+01
    3.9800000E-01    3.1611826E+01    1.7507661E+01
    4.0200000E-01    3.1720357E+01    1.7553743E+01
    4.0600000E-01    3.1828927E+01    1.7599247E+01
    4.1000000E-01    3.1937539E+01    1.7644178E+01
    4.1400000E-01    3.2046191E+01    1.7688543E+01
    4.1800000E-01    3.2154884E+01    1.7732349E+01
    4.2200000E-01    3.2263618E+01    1.7775601E+01
    4.2600000E-01    3.2372393E+01    1.7818305E+01
    4.3000000E-01    3.2481209E+01    1.7860468E+01
    4.3400000E-01    3.2590066E+01    1.7902096E+01
    4.3800000E-01    3.2698965E+01    1.7943194E+01
    4.4200000E-01    3.2807905E+01    1.7983769E+01
    4.4600000E-01    3.2916887E+01    1.8023825E+01
    4.5000000E-01    3.3025910E+01    1.8063370E+01
    4.5400000E-01    3.3134976E+01    1.8102408E+01
    4.5800000E-01    3.3244083E+01    1.8140946E+01
    4.6200000E-01    3.3353232E+01    1.8178988E+01
    4.6600000E-01    3.3462423E+01    1.8216541E+01
    4.7000000E-01    3.3571656E+01    1.8253610E+01
    4.7400000E-01    3.3680931E+01    1.8290200E+01
    4.7800000E-01    3.3790249E+01    1.8326317E+01
    4.8200000E-01    3.3899609E+01    1.8361966E+01
    4.8600000E-01    3.4009012E+01    1.8397153E+01
    4.9000000E-01    3.4118458E+01    1.8431882E+01
