# Time          1.0000E+03
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0654059E+01   -1.0574598E+01   -2.2975776E+00   -4.1395853E+00   -1.5725202E+00   -2.9184177E+00   -4.2641534E+00   -1.5700954E+00   -8.0000131E+00    7.9076259E-02    1.8396702E-09   -2.6888554E+00   -3.8362551E+00
    6.0000000E-03    1.1128890E+01   -1.1049453E+01   -2.2504113E+00   -3.6632770E+00   -1.5737026E+00   -2.9195559E+00   -4.2652531E+00   -1.5712580E+00   -8.0000394E+00    7.8866801E-02    5.4650611E-09   -2.6888572E+00   -3.3614775E+00
    1.0000000E-02    1.1349836E+01   -1.1270421E+01   -2.2079832E+00   -3.4420784E+00   -1.5748850E+00   -2.9206940E+00   -4.2663535E+00   -1.5724205E+00   -8.0000658E+00    7.8657830E-02    9.0371710E-09   -2.6888590E+00   -3.1405859E+00
    1.4000000E-02    1.1495259E+01   -1.1415868E+01   -2.1694374E+00   -3.2965770E+00   -1.5760673E+00   -2.9218321E+00   -4.2674545E+00   -1.5735829E+00   -8.0000921E+00    7.8449345E-02    1.2556662E-08   -2.6888607E+00   -2.9952162E+00
    1.8000000E-02    1.1603766E+01   -1.1524398E+01   -2.1341311E+00   -3.1880512E+00   -1.5772496E+00   -2.9229701E+00   -4.2685561E+00   -1.5747453E+00   -8.0001185E+00    7.8241345E-02    1.6024188E-08   -2.6888624E+00   -2.8867635E+00
    2.2000000E-02    1.1690308E+01   -1.1610964E+01   -2.1015688E+00   -3.1015160E+00   -1.5784318E+00   -2.9241081E+00   -4.2696584E+00   -1.5759076E+00   -8.0001449E+00    7.8033830E-02    1.9440396E-08   -2.6888640E+00   -2.8002748E+00
    2.6000000E-02    1.1762267E+01   -1.1682946E+01   -2.0713608E+00   -3.0295781E+00   -1.5796139E+00   -2.9252460E+00   -4.2707612E+00   -1.5770699E+00   -8.0001712E+00    7.7826798E-02    2.2805928E-08   -2.6888657E+00   -2.7283691E+00
    3.0000000E-02    1.1823834E+01   -1.1744536E+01   -2.0431947E+00   -2.9680415E+00   -1.5807960E+00   -2.9263839E+00   -4.2718646E+00   -1.5782321E+00   -8.0001976E+00    7.7620249E-02    2.6121416E-08   -2.6888673E+00   -2.6668563E+00
    3.4000000E-02    1.1877617E+01   -1.1798342E+01   -2.0168168E+00   -2.9142943E+00   -1.5819780E+00   -2.9275216E+00   -4.2729685E+00   -1.5793942E+00   -8.0002240E+00    7.7414182E-02    2.9387485E-08   -2.6888689E+00   -2.6131271E+00
    3.8000000E-02    1.1925351E+01   -1.1846099E+01   -1.9920175E+00   -2.8665992E+00   -1.5831600E+00   -2.9286593E+00   -4.2740731E+00   -1.5805563E+00   -8.0002503E+00    7.7208596E-02    3.2604757E-08   -2.6888705E+00   -2.5654463E+00
