# Time          1.0000E+01
# Units: Dimensionless
    Distance         pH
  2.0000E-03    9.9445E+00
  6.0000E-03    1.0410E+01
  1.0000E-02    1.0627E+01
  1.4000E-02    1.0769E+01
  1.8000E-02    1.0875E+01
  2.2000E-02    1.0959E+01
  2.6000E-02    1.1028E+01
  3.0000E-02    1.1087E+01
  3.4000E-02    1.1138E+01
  3.8000E-02    1.1183E+01
  4.2000E-02    1.1223E+01
  4.6000E-02    1.1260E+01
  5.0000E-02    1.1293E+01
  5.4000E-02    1.1323E+01
  5.8000E-02    1.1351E+01
  6.2000E-02    1.1377E+01
  6.6000E-02    1.1401E+01
  7.0000E-02    1.1423E+01
  7.4000E-02    1.1444E+01
  7.8000E-02    1.1464E+01
  8.2000E-02    1.1482E+01
  8.6000E-02    1.1500E+01
  9.0000E-02    1.1517E+01
  9.4000E-02    1.1532E+01
  9.8000E-02    1.1547E+01
  1.0200E-01    1.1561E+01
  1.0600E-01    1.1575E+01
  1.1000E-01    1.1588E+01
  1.1400E-01    1.1600E+01
  1.1800E-01    1.1612E+01
  1.2200E-01    1.1623E+01
  1.2600E-01    1.1634E+01
  1.3000E-01    1.1644E+01
  1.3400E-01    1.1654E+01
  1.3800E-01    1.1663E+01
  1.4200E-01    1.1673E+01
  1.4600E-01    1.1681E+01
  1.5000E-01    1.1690E+01
  1.5400E-01    1.1698E+01
  1.5800E-01    1.1706E+01
  1.6200E-01    1.1713E+01
  1.6600E-01    1.1721E+01
  1.7000E-01    1.1728E+01
  1.7400E-01    1.1734E+01
  1.7800E-01    1.1741E+01
  1.8200E-01    1.1747E+01
  1.8600E-01    1.1753E+01
  1.9000E-01    1.1759E+01
  1.9400E-01    1.1765E+01
  1.9800E-01    1.1770E+01
  2.0200E-01    1.1775E+01
  2.0600E-01    1.1781E+01
  2.1000E-01    1.1786E+01
  2.1400E-01    1.1790E+01
  2.1800E-01    1.1795E+01
  2.2200E-01    1.1799E+01
  2.2600E-01    1.1804E+01
  2.3000E-01    1.1808E+01
  2.3400E-01    1.1812E+01
  2.3800E-01    1.1816E+01
  2.4200E-01    1.1820E+01
  2.4600E-01    1.1823E+01
  2.5000E-01    1.1827E+01
  2.5400E-01    1.1830E+01
  2.5800E-01    1.1833E+01
  2.6200E-01    1.1837E+01
  2.6600E-01    1.1840E+01
  2.7000E-01    1.1843E+01
  2.7400E-01    1.1845E+01
  2.7800E-01    1.1848E+01
  2.8200E-01    1.1851E+01
  2.8600E-01    1.1853E+01
  2.9000E-01    1.1856E+01
  2.9400E-01    1.1858E+01
  2.9800E-01    1.1860E+01
  3.0200E-01    1.1863E+01
