# Time          7.5000E+01
# Units: Mol/kgw
    Distance        SO4--            SO164--         
    2.0000000E-03    2.7963257E-02    2.6960840E-02
    6.0000000E-03    2.7881330E-02    2.6882717E-02
    1.0000000E-02    2.7799613E-02    2.6804790E-02
    1.4000000E-02    2.7718104E-02    2.6727058E-02
    1.8000000E-02    2.7636805E-02    2.6649522E-02
    2.2000000E-02    2.7555713E-02    2.6572181E-02
    2.6000000E-02    2.7474829E-02    2.6495034E-02
    3.0000000E-02    2.7394152E-02    2.6418081E-02
    3.4000000E-02    2.7313681E-02    2.6341321E-02
    3.8000000E-02    2.7233416E-02    2.6264755E-02
    4.2000000E-02    2.7153357E-02    2.6188380E-02
    4.6000000E-02    2.7073503E-02    2.6112198E-02
    5.0000000E-02    2.6993853E-02    2.6036208E-02
    5.4000000E-02    2.6914408E-02    2.5960408E-02
    5.8000000E-02    2.6835165E-02    2.5884799E-02
    6.2000000E-02    2.6756126E-02    2.5809380E-02
    6.6000000E-02    2.6677289E-02    2.5734151E-02
    7.0000000E-02    2.6598654E-02    2.5659111E-02
    7.4000000E-02    2.6520221E-02    2.5584259E-02
    7.8000000E-02    2.6441988E-02    2.5509596E-02
    8.2000000E-02    2.6363956E-02    2.5435121E-02
    8.6000000E-02    2.6286124E-02    2.5360833E-02
    9.0000000E-02    2.6208492E-02    2.5286733E-02
    9.4000000E-02    2.6131058E-02    2.5212818E-02
    9.8000000E-02    2.6053823E-02    2.5139090E-02
    1.0200000E-01    2.5976786E-02    2.5065547E-02
    1.0600000E-01    2.5899946E-02    2.4992190E-02
    1.1000000E-01    2.5823303E-02    2.4919017E-02
    1.1400000E-01    2.5746857E-02    2.4846028E-02
    1.1800000E-01    2.5670607E-02    2.4773223E-02
    1.2200000E-01    2.5594552E-02    2.4700602E-02
    1.2600000E-01    2.5518693E-02    2.4628163E-02
    1.3000000E-01    2.5443028E-02    2.4555907E-02
    1.3400000E-01    2.5367557E-02    2.4483833E-02
    1.3800000E-01    2.5292280E-02    2.4411941E-02
    1.4200000E-01    2.5217196E-02    2.4340230E-02
    1.4600000E-01    2.5142305E-02    2.4268699E-02
    1.5000000E-01    2.5067606E-02    2.4197349E-02
    1.5400000E-01    2.4993098E-02    2.4126179E-02
    1.5800000E-01    2.4918782E-02    2.4055188E-02
    1.6200000E-01    2.4844657E-02    2.3984376E-02
    1.6600000E-01    2.4770722E-02    2.3913743E-02
    1.7000000E-01    2.4696977E-02    2.3843288E-02
    1.7400000E-01    2.4623422E-02    2.3773011E-02
    1.7800000E-01    2.4550055E-02    2.3702911E-02
    1.8200000E-01    2.4476877E-02    2.3632988E-02
