# Time          1.0000E+00
# Units: Bars
    Distance        CO2(g)          
    2.0000000E-03    8.9448242E-02
    6.0000000E-03    8.8751508E-02
    1.0000000E-02    8.8026189E-02
    1.4000000E-02    8.7273433E-02
    1.8000000E-02    8.6494388E-02
    2.2000000E-02    8.5690194E-02
    2.6000000E-02    8.4861987E-02
    3.0000000E-02    8.4010893E-02
    3.4000000E-02    8.3138034E-02
    3.8000000E-02    8.2244521E-02
    4.2000000E-02    8.1331458E-02
    4.6000000E-02    8.0399938E-02
    5.0000000E-02    7.9451043E-02
    5.4000000E-02    7.8485844E-02
    5.8000000E-02    7.7505401E-02
    6.2000000E-02    7.6510760E-02
    6.6000000E-02    7.5502953E-02
    7.0000000E-02    7.4483001E-02
    7.4000000E-02    7.3451906E-02
    7.8000000E-02    7.2410660E-02
    8.2000000E-02    7.1360233E-02
    8.6000000E-02    7.0301585E-02
    9.0000000E-02    6.9235654E-02
    9.4000000E-02    6.8163364E-02
    9.8000000E-02    6.7085619E-02
    1.0200000E-01    6.6003306E-02
    1.0600000E-01    6.4917293E-02
    1.1000000E-01    6.3828429E-02
    1.1400000E-01    6.2737542E-02
    1.1800000E-01    6.1645443E-02
    1.2200000E-01    6.0552920E-02
    1.2600000E-01    5.9460744E-02
    1.3000000E-01    5.8369661E-02
    1.3400000E-01    5.7280399E-02
    1.3800000E-01    5.6193666E-02
    1.4200000E-01    5.5110145E-02
    1.4600000E-01    5.4030500E-02
    1.5000000E-01    5.2955373E-02
    1.5400000E-01    5.1885385E-02
    1.5800000E-01    5.0821135E-02
    1.6200000E-01    4.9763199E-02
    1.6600000E-01    4.8712132E-02
    1.7000000E-01    4.7668469E-02
    1.7400000E-01    4.6632720E-02
    1.7800000E-01    4.5605376E-02
    1.8200000E-01    4.4586904E-02
    1.8600000E-01    4.3577753E-02
    1.9000000E-01    4.2578348E-02
    1.9400000E-01    4.1589092E-02
    1.9800000E-01    4.0610370E-02
    2.0200000E-01    3.9642543E-02
    2.0600000E-01    3.8685954E-02
    2.1000000E-01    3.7740925E-02
    2.1400000E-01    3.6807755E-02
    2.1800000E-01    3.5886727E-02
    2.2200000E-01    3.4978103E-02
    2.2600000E-01    3.4082125E-02
    2.3000000E-01    3.3199016E-02
    2.3400000E-01    3.2328981E-02
    2.3800000E-01    3.1472206E-02
    2.4200000E-01    3.0628861E-02
    2.4600000E-01    2.9799095E-02
    2.5000000E-01    2.8983043E-02
    2.5400000E-01    2.8180822E-02
    2.5800000E-01    2.7392531E-02
    2.6200000E-01    2.6618255E-02
    2.6600000E-01    2.5858064E-02
    2.7000000E-01    2.5112009E-02
    2.7400000E-01    2.4380131E-02
    2.7800000E-01    2.3662454E-02
    2.8200000E-01    2.2958988E-02
    2.8600000E-01    2.2269730E-02
    2.9000000E-01    2.1594666E-02
    2.9400000E-01    2.0933766E-02
    2.9800000E-01    2.0286990E-02
    3.0200000E-01    1.9654286E-02
    3.0600000E-01    1.9035592E-02
    3.1000000E-01    1.8430832E-02
    3.1400000E-01    1.7839923E-02
    3.1800000E-01    1.7262772E-02
    3.2200000E-01    1.6699274E-02
    3.2600000E-01    1.6149318E-02
    3.3000000E-01    1.5612783E-02
    3.3400000E-01    1.5089540E-02
    3.3800000E-01    1.4579453E-02
    3.4200000E-01    1.4082379E-02
    3.4600000E-01    1.3598168E-02
    3.5000000E-01    1.3126662E-02
    3.5400000E-01    1.2667700E-02
    3.5800000E-01    1.2221114E-02
    3.6200000E-01    1.1786731E-02
    3.6600000E-01    1.1364374E-02
    3.7000000E-01    1.0953860E-02
    3.7400000E-01    1.0555003E-02
    3.7800000E-01    1.0167614E-02
    3.8200000E-01    9.7915011E-03
    3.8600000E-01    9.4264678E-03
    3.9000000E-01    9.0723163E-03
    3.9400000E-01    8.7288463E-03
    3.9800000E-01    8.3958558E-03
    4.0200000E-01    8.0731409E-03
    4.0600000E-01    7.7604968E-03
    4.1000000E-01    7.4577175E-03
    4.1400000E-01    7.1645963E-03
    4.1800000E-01    6.8809263E-03
    4.2200000E-01    6.6065001E-03
    4.2600000E-01    6.3411107E-03
    4.3000000E-01    6.0845513E-03
    4.3400000E-01    5.8366157E-03
    4.3800000E-01    5.5970982E-03
    4.4200000E-01    5.3657946E-03
    4.4600000E-01    5.1425014E-03
    4.5000000E-01    4.9270168E-03
    4.5400000E-01    4.7191404E-03
    4.5800000E-01    4.5186736E-03
    4.6200000E-01    4.3254196E-03
    4.6600000E-01    4.1391837E-03
    4.7000000E-01    3.9597733E-03
    4.7400000E-01    3.7869982E-03
    4.7800000E-01    3.6206706E-03
    4.8200000E-01    3.4606052E-03
    4.8600000E-01    3.3066194E-03
    4.9000000E-01    3.1585333E-03
    4.9400000E-01    3.0161699E-03
    4.9800000E-01    2.8793550E-03
    5.0200000E-01    2.7479174E-03
    5.0600000E-01    2.6216892E-03
    5.1000000E-01    2.5005052E-03
    5.1400000E-01    2.3842037E-03
    5.1800000E-01    2.2726260E-03
    5.2200000E-01    2.1656168E-03
    5.2600000E-01    2.0630238E-03
    5.3000000E-01    1.9646983E-03
    5.3400000E-01    1.8704948E-03
    5.3800000E-01    1.7802710E-03
    5.4200000E-01    1.6938880E-03
    5.4600000E-01    1.6112104E-03
    5.5000000E-01    1.5321060E-03
    5.5400000E-01    1.4564458E-03
    5.5800000E-01    1.3841043E-03
    5.6200000E-01    1.3149591E-03
    5.6600000E-01    1.2488914E-03
    5.7000000E-01    1.1857853E-03
    5.7400000E-01    1.1255283E-03
    5.7800000E-01    1.0680110E-03
    5.8200000E-01    1.0131273E-03
    5.8600000E-01    9.6077417E-04
