# Time          2.5000E+02
# Units: Bars
    Distance        CO2(g)          
    2.0000000E-03    1.1152616E-01
    6.0000000E-03    1.1617618E-01
    1.0000000E-02    1.2082235E-01
    1.4000000E-02    1.2546466E-01
    1.8000000E-02    1.3010311E-01
    2.2000000E-02    1.3473770E-01
    2.6000000E-02    1.3936843E-01
    3.0000000E-02    1.4399529E-01
    3.4000000E-02    1.4861829E-01
    3.8000000E-02    1.5323742E-01
    4.2000000E-02    1.5785268E-01
    4.6000000E-02    1.6246407E-01
    5.0000000E-02    1.6707158E-01
    5.4000000E-02    1.7167523E-01
    5.8000000E-02    1.7627500E-01
    6.2000000E-02    1.8087089E-01
    6.6000000E-02    1.8546290E-01
    7.0000000E-02    1.9005103E-01
    7.4000000E-02    1.9463529E-01
    7.8000000E-02    1.9921565E-01
    8.2000000E-02    2.0379214E-01
    8.6000000E-02    2.0836473E-01
    9.0000000E-02    2.1293344E-01
    9.4000000E-02    2.1749826E-01
    9.8000000E-02    2.2205919E-01
    1.0200000E-01    2.2661623E-01
    1.0600000E-01    2.3116937E-01
    1.1000000E-01    2.3571862E-01
    1.1400000E-01    2.4026397E-01
    1.1800000E-01    2.4480542E-01
    1.2200000E-01    2.4934297E-01
    1.2600000E-01    2.5387662E-01
    1.3000000E-01    2.5840636E-01
    1.3400000E-01    2.6293220E-01
    1.3800000E-01    2.6745413E-01
    1.4200000E-01    2.7197216E-01
    1.4600000E-01    2.7648627E-01
    1.5000000E-01    2.8099647E-01
    1.5400000E-01    2.8550276E-01
    1.5800000E-01    2.9000513E-01
    1.6200000E-01    2.9450359E-01
    1.6600000E-01    2.9899812E-01
    1.7000000E-01    3.0348874E-01
    1.7400000E-01    3.0797544E-01
    1.7800000E-01    3.1245821E-01
    1.8200000E-01    3.1693706E-01
    1.8600000E-01    3.2141198E-01
    1.9000000E-01    3.2588298E-01
    1.9400000E-01    3.3035004E-01
    1.9800000E-01    3.3481318E-01
    2.0200000E-01    3.3927238E-01
    2.0600000E-01    3.4372764E-01
    2.1000000E-01    3.4817897E-01
    2.1400000E-01    3.5262636E-01
    2.1800000E-01    3.5706981E-01
    2.2200000E-01    3.6150932E-01
    2.2600000E-01    3.6594489E-01
    2.3000000E-01    3.7037651E-01
    2.3400000E-01    3.7480419E-01
    2.3800000E-01    3.7922792E-01
    2.4200000E-01    3.8364770E-01
    2.4600000E-01    3.8806353E-01
    2.5000000E-01    3.9247540E-01
    2.5400000E-01    3.9688332E-01
    2.5800000E-01    4.0128729E-01
    2.6200000E-01    4.0568729E-01
    2.6600000E-01    4.1008334E-01
    2.7000000E-01    4.1447542E-01
    2.7400000E-01    4.1886355E-01
    2.7800000E-01    4.2324770E-01
    2.8200000E-01    4.2762790E-01
    2.8600000E-01    4.3200412E-01
    2.9000000E-01    4.3637637E-01
    2.9400000E-01    4.4074466E-01
    2.9800000E-01    4.4510897E-01
