# Time          1.0000E+01
# Units: Permil
    Distance        SO4--            SO164--         
    2.0000000E-03    2.1030012E+01    8.7527357E+00
    6.0000000E-03    2.1090165E+01    8.9002892E+00
    1.0000000E-02    2.1150506E+01    9.0461428E+00
    1.4000000E-02    2.1211036E+01    9.1903149E+00
    1.8000000E-02    2.1271754E+01    9.3328238E+00
    2.2000000E-02    2.1332660E+01    9.4736875E+00
    2.6000000E-02    2.1393756E+01    9.6129240E+00
    3.0000000E-02    2.1455040E+01    9.7505510E+00
    3.4000000E-02    2.1516513E+01    9.8865860E+00
    3.8000000E-02    2.1578175E+01    1.0021046E+01
    4.2000000E-02    2.1640027E+01    1.0153949E+01
    4.6000000E-02    2.1702068E+01    1.0285311E+01
    5.0000000E-02    2.1764298E+01    1.0415149E+01
    5.4000000E-02    2.1826717E+01    1.0543481E+01
    5.8000000E-02    2.1889326E+01    1.0670321E+01
    6.2000000E-02    2.1952124E+01    1.0795687E+01
    6.6000000E-02    2.2015112E+01    1.0919595E+01
    7.0000000E-02    2.2078290E+01    1.1042060E+01
    7.4000000E-02    2.2141657E+01    1.1163098E+01
    7.8000000E-02    2.2205215E+01    1.1282726E+01
    8.2000000E-02    2.2268962E+01    1.1400958E+01
    8.6000000E-02    2.2332898E+01    1.1517809E+01
    9.0000000E-02    2.2397025E+01    1.1633295E+01
    9.4000000E-02    2.2461342E+01    1.1747431E+01
    9.8000000E-02    2.2525849E+01    1.1860231E+01
    1.0200000E-01    2.2590545E+01    1.1971711E+01
    1.0600000E-01    2.2655432E+01    1.2081884E+01
    1.1000000E-01    2.2720509E+01    1.2190765E+01
    1.1400000E-01    2.2785776E+01    1.2298368E+01
    1.1800000E-01    2.2851233E+01    1.2404707E+01
    1.2200000E-01    2.2916880E+01    1.2509797E+01
    1.2600000E-01    2.2982717E+01    1.2613650E+01
    1.3000000E-01    2.3048744E+01    1.2716280E+01
    1.3400000E-01    2.3114961E+01    1.2817702E+01
    1.3800000E-01    2.3181368E+01    1.2917927E+01
    1.4200000E-01    2.3247966E+01    1.3016970E+01
    1.4600000E-01    2.3314753E+01    1.3114843E+01
    1.5000000E-01    2.3381731E+01    1.3211560E+01
    1.5400000E-01    2.3448898E+01    1.3307132E+01
    1.5800000E-01    2.3516255E+01    1.3401573E+01
    1.6200000E-01    2.3583803E+01    1.3494895E+01
    1.6600000E-01    2.3651540E+01    1.3587111E+01
    1.7000000E-01    2.3719467E+01    1.3678232E+01
    1.7400000E-01    2.3787584E+01    1.3768272E+01
    1.7800000E-01    2.3855890E+01    1.3857241E+01
    1.8200000E-01    2.3924387E+01    1.3945151E+01
    1.8600000E-01    2.3993072E+01    1.4032015E+01
    1.9000000E-01    2.4061948E+01    1.4117845E+01
    1.9400000E-01    2.4131013E+01    1.4202650E+01
    1.9800000E-01    2.4200267E+01    1.4286444E+01
    2.0200000E-01    2.4269711E+01    1.4369236E+01
    2.0600000E-01    2.4339344E+01    1.4451039E+01
    2.1000000E-01    2.4409167E+01    1.4531862E+01
    2.1400000E-01    2.4479178E+01    1.4611718E+01
