# Time          5.0000E+02
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.0000000E-03   -3.9342262E-05    4.8271443E-03    1.9286068E-05    2.6786591E-02    1.2078269E-03    5.4485397E-05    2.6936137E-02    1.0000000E-08    1.1999229E+00    1.0000000E+00    2.0471256E-03
    6.0000000E-03   -1.1640507E-04    4.9812699E-03    5.7817469E-05    2.6767613E-02    1.2070093E-03    5.4456105E-05    2.6917430E-02    1.0000000E-08    1.1997687E+00    1.0000000E+00    2.0471169E-03
    1.0000000E-02   -1.9338642E-04    5.1352326E-03    9.6308147E-05    2.6748655E-02    1.2061925E-03    5.4426731E-05    2.6898743E-02    1.0000000E-08    1.1996148E+00    1.0000000E+00    2.0471083E-03
    1.4000000E-02   -2.7028635E-04    5.2890325E-03    1.3475811E-04    2.6729718E-02    1.2053766E-03    5.4397276E-05    2.6880076E-02    1.0000000E-08    1.1994610E+00    1.0000000E+00    2.0470998E-03
    1.8000000E-02   -3.4710488E-04    5.4426695E-03    1.7316738E-04    2.6710800E-02    1.2045615E-03    5.4367740E-05    2.6861429E-02    1.0000000E-08    1.1993073E+00    1.0000000E+00    2.0470915E-03
    2.2000000E-02   -4.2384202E-04    5.5961438E-03    2.1153595E-04    2.6691903E-02    1.2037473E-03    5.4338127E-05    2.6842801E-02    1.0000000E-08    1.1991539E+00    1.0000000E+00    2.0470833E-03
    2.6000000E-02   -5.0049780E-04    5.7494553E-03    2.4986384E-04    2.6673026E-02    1.2029339E-03    5.4308437E-05    2.6824194E-02    1.0000000E-08    1.1990005E+00    1.0000001E+00    2.0470752E-03
    3.0000000E-02   -5.7707224E-04    5.9026042E-03    2.8815106E-04    2.6654169E-02    1.2021214E-03    5.4278672E-05    2.6805606E-02    1.0000000E-08    1.1988474E+00    1.0000001E+00    2.0470672E-03
    3.4000000E-02   -6.5356535E-04    6.0555905E-03    3.2639761E-04    2.6635333E-02    1.2013097E-03    5.4248834E-05    2.6787037E-02    1.0000000E-08    1.1986944E+00    1.0000001E+00    2.0470593E-03
    3.8000000E-02   -7.2997717E-04    6.2084141E-03    3.6460352E-04    2.6616516E-02    1.2004989E-03    5.4218923E-05    2.6768489E-02    1.0000000E-08    1.1985416E+00    1.0000001E+00    2.0470515E-03
    4.2000000E-02   -8.0630771E-04    6.3610752E-03    4.0276879E-04    2.6597720E-02    1.1996889E-03    5.4188943E-05    2.6749960E-02    1.0000000E-08    1.1983889E+00    1.0000001E+00    2.0470439E-03
    4.6000000E-02   -8.8255698E-04    6.5135737E-03    4.4089343E-04    2.6578943E-02    1.1988798E-03    5.4158893E-05    2.6731451E-02    1.0000000E-08    1.1982364E+00    1.0000001E+00    2.0470363E-03
    5.0000000E-02   -9.5872502E-04    6.6659098E-03    4.7897745E-04    2.6560187E-02    1.1980714E-03    5.4128776E-05    2.6712961E-02    1.0000000E-08    1.1980841E+00    1.0000001E+00    2.0470289E-03
    5.4000000E-02   -1.0348118E-03    6.8180834E-03    5.1702086E-04    2.6541451E-02    1.1972640E-03    5.4098593E-05    2.6694491E-02    1.0000000E-08    1.1979319E+00    1.0000001E+00    2.0470215E-03
    5.8000000E-02   -1.1108175E-03    6.9700947E-03    5.5502367E-04    2.6522735E-02    1.1964574E-03    5.4068346E-05    2.6676041E-02    1.0000000E-08    1.1977799E+00    1.0000001E+00    2.0470143E-03
    6.2000000E-02   -1.1867419E-03    7.1219436E-03    5.9298589E-04    2.6504040E-02    1.1956516E-03    5.4038035E-05    2.6657611E-02    1.0000000E-08    1.1976281E+00    1.0000001E+00    2.0470072E-03
    6.6000000E-02   -1.2625852E-03    7.2736301E-03    6.3090754E-04    2.6485364E-02    1.1948467E-03    5.4007662E-05    2.6639200E-02    1.0000000E-08    1.1974764E+00    1.0000001E+00    2.0470001E-03
    7.0000000E-02   -1.3383474E-03    7.4251545E-03    6.6878861E-04    2.6466708E-02    1.1940426E-03    5.3977229E-05    2.6620809E-02    1.0000000E-08    1.1973248E+00    1.0000001E+00    2.0469932E-03
