# Time          1.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0387794E+01   -1.0307930E+01   -2.2994949E+00   -4.1744036E+00   -1.5724618E+00   -2.9183631E+00   -4.2640968E+00   -1.5700387E+00   -7.9999999E+00    7.9084349E-02    1.8443282E-09   -2.6888554E+00   -3.8708819E+00
    6.0000000E-03    1.0863213E+01   -1.0783370E+01   -2.2554766E+00   -3.6973742E+00   -1.5735298E+00   -2.9193944E+00   -4.2650859E+00   -1.5710903E+00   -7.9999999E+00    7.8890552E-02    5.4790542E-09   -2.6888572E+00   -3.3955119E+00
    1.0000000E-02    1.1084699E+01   -1.1004877E+01   -2.2155254E+00   -3.4756043E+00   -1.5746001E+00   -2.9204278E+00   -4.2660778E+00   -1.5721441E+00   -7.9999999E+00    7.8696737E-02    9.0605371E-09   -2.6888590E+00   -3.1740746E+00
    1.4000000E-02    1.1230652E+01   -1.1150851E+01   -2.1789552E+00   -3.3295576E+00   -1.5756726E+00   -2.9214633E+00   -4.2670726E+00   -1.5732001E+00   -7.9999999E+00    7.8502909E-02    1.2589438E-08   -2.6888607E+00   -3.0281706E+00
    1.8000000E-02    1.1339680E+01   -1.1259900E+01   -2.1452404E+00   -3.2204989E+00   -1.5767473E+00   -2.9225009E+00   -4.2680702E+00   -1.5742581E+00   -7.9999999E+00    7.8309077E-02    1.6066409E-08   -2.6888624E+00   -2.9191911E+00
    2.2000000E-02    1.1426738E+01   -1.1346979E+01   -2.1139691E+00   -3.1334392E+00   -1.5778242E+00   -2.9235405E+00   -4.2690706E+00   -1.5753183E+00   -7.9999999E+00    7.8115246E-02    1.9492099E-08   -2.6888641E+00   -2.8321819E+00
    2.6000000E-02    1.1499207E+01   -1.1419469E+01   -2.0848129E+00   -3.0609841E+00   -1.5789032E+00   -2.9245821E+00   -4.2700737E+00   -1.5763805E+00   -7.9999999E+00    7.7921424E-02    2.2867145E-08   -2.6888657E+00   -2.7597617E+00
    3.0000000E-02    1.1561278E+01   -1.1481561E+01   -2.0575055E+00   -2.9989367E+00   -1.5799843E+00   -2.9256256E+00   -4.2710795E+00   -1.5774448E+00   -7.9999999E+00    7.7727618E-02    2.6192181E-08   -2.6888673E+00   -2.6977399E+00
    3.4000000E-02    1.1615559E+01   -1.1535863E+01   -2.0318281E+00   -2.9446847E+00   -1.5810676E+00   -2.9266711E+00   -4.2720880E+00   -1.5785111E+00   -7.9999999E+00    7.7533835E-02    2.9467830E-08   -2.6888689E+00   -2.6435075E+00
    3.8000000E-02    1.1663787E+01   -1.1584112E+01   -2.0075986E+00   -2.8964908E+00   -1.5821528E+00   -2.9277185E+00   -4.2730991E+00   -1.5795794E+00   -7.9999999E+00    7.7340081E-02    3.2694711E-08   -2.6888705E+00   -2.5953290E+00
    4.2000000E-02    1.1707173E+01   -1.1627519E+01   -1.9846640E+00   -2.8531409E+00   -1.5832401E+00   -2.9287678E+00   -4.2741127E+00   -1.5806497E+00   -7.9999999E+00    7.7146364E-02    3.5873435E-08   -2.6888721E+00   -2.5519917E+00
    4.6000000E-02    1.1746599E+01   -1.1666967E+01   -1.9628942E+00   -2.8137534E+00   -1.5843294E+00   -2.9298190E+00   -4.2751290E+00   -1.5817218E+00   -7.9999999E+00    7.6952690E-02    3.9004606E-08   -2.6888736E+00   -2.5126145E+00
    5.0000000E-02    1.1782726E+01   -1.1703114E+01   -1.9421780E+00   -2.7776673E+00   -1.5854207E+00   -2.9308719E+00   -4.2761478E+00   -1.5827959E+00   -7.9999999E+00    7.6759066E-02    4.2088823E-08   -2.6888751E+00   -2.4765371E+00
    5.4000000E-02    1.1816060E+01   -1.1736470E+01   -1.9224195E+00   -2.7443747E+00   -1.5865138E+00   -2.9319267E+00   -4.2771690E+00   -1.5838719E+00   -7.9999999E+00    7.6565499E-02    4.5126676E-08   -2.6888766E+00   -2.4432519E+00
    5.8000000E-02    1.1847000E+01   -1.1767432E+01   -1.9035353E+00   -2.7134768E+00   -1.5876089E+00   -2.9329832E+00   -4.2781927E+00   -1.5849496E+00   -7.9999999E+00    7.6371997E-02    4.8118750E-08   -2.6888780E+00   -2.4123603E+00
    6.2000000E-02    1.1875866E+01   -1.1796319E+01   -1.8854525E+00   -2.6846544E+00   -1.5887059E+00   -2.9340415E+00   -4.2792188E+00   -1.5860292E+00   -7.9999999E+00    7.6178565E-02    5.1065622E-08   -2.6888795E+00   -2.3835435E+00
    6.6000000E-02    1.1902916E+01   -1.1823390E+01   -1.8681069E+00   -2.6576485E+00   -1.5898046E+00   -2.9351015E+00   -4.2802473E+00   -1.5871106E+00   -7.9999999E+00    7.5985210E-02    5.3967864E-08   -2.6888809E+00   -2.3565425E+00
    7.0000000E-02    1.1928364E+01   -1.1848859E+01   -1.8514420E+00   -2.6322458E+00   -1.5909052E+00   -2.9361631E+00   -4.2812781E+00   -1.5881937E+00   -7.9999999E+00    7.5791939E-02    5.6826041E-08   -2.6888823E+00   -2.3311441E+00
    7.4000000E-02    1.1952386E+01   -1.1872902E+01   -1.8354074E+00   -2.6082685E+00   -1.5920076E+00   -2.9372264E+00   -4.2823113E+00   -1.5892786E+00   -7.9999999E+00    7.5598759E-02    5.9640712E-08   -2.6888837E+00   -2.3071707E+00
    7.8000000E-02    1.1975133E+01   -1.1895671E+01   -1.8199582E+00   -2.5855670E+00   -1.5931117E+00   -2.9382914E+00   -4.2833467E+00   -1.5903651E+00   -7.9999999E+00    7.5405676E-02    6.2412430E-08   -2.6888850E+00   -2.2844726E+00
    8.2000000E-02    1.1996732E+01   -1.1917291E+01   -1.8050542E+00   -2.5640141E+00   -1.5942176E+00   -2.9393579E+00   -4.2843843E+00   -1.5914533E+00   -7.9999999E+00    7.5212697E-02    6.5141740E-08   -2.6888864E+00   -2.2629228E+00
    8.6000000E-02    1.2017291E+01   -1.1937871E+01   -1.7906590E+00   -2.5435008E+00   -1.5953251E+00   -2.9404260E+00   -4.2854241E+00   -1.5925431E+00   -7.9999999E+00    7.5019827E-02    6.7829182E-08   -2.6888877E+00   -2.2424123E+00
    9.0000000E-02    1.2036906E+01   -1.1957507E+01   -1.7767401E+00   -2.5239329E+00   -1.5964343E+00   -2.9414956E+00   -4.2864661E+00   -1.5936345E+00   -7.9999999E+00    7.4827075E-02    7.0475292E-08   -2.6888890E+00   -2.2228470E+00
    9.4000000E-02    1.2055657E+01   -1.1976279E+01   -1.7632679E+00   -2.5052286E+00   -1.5975451E+00   -2.9425668E+00   -4.2875102E+00   -1.5947275E+00   -7.9999999E+00    7.4634445E-02    7.3080596E-08   -2.6888902E+00   -2.2041451E+00
    9.8000000E-02    1.2073616E+01   -1.1994260E+01   -1.7502153E+00   -2.4873163E+00   -1.5986575E+00   -2.9436394E+00   -4.2885564E+00   -1.5958221E+00   -7.9999999E+00    7.4441945E-02    7.5645618E-08   -2.6888915E+00   -2.1862349E+00
    1.0200000E-01    1.2090846E+01   -1.2011511E+01   -1.7375579E+00   -2.4701329E+00   -1.5997715E+00   -2.9447135E+00   -4.2896047E+00   -1.5969181E+00   -7.9999999E+00    7.4249579E-02    7.8170874E-08   -2.6888927E+00   -2.1690535E+00
    1.0600000E-01    1.2107403E+01   -1.2028090E+01   -1.7252733E+00   -2.4536227E+00   -1.6008870E+00   -2.9457890E+00   -4.2906550E+00   -1.5980157E+00   -7.9999999E+00    7.4057356E-02    8.0656873E-08   -2.6888939E+00   -2.1525452E+00
    1.1000000E-01    1.2123337E+01   -1.2044045E+01   -1.7133409E+00   -2.4377362E+00   -1.6020040E+00   -2.9468659E+00   -4.2917072E+00   -1.5991147E+00   -7.9999999E+00    7.3865280E-02    8.3104122E-08   -2.6888951E+00   -2.1366603E+00
    1.1400000E-01    1.2138692E+01   -1.2059421E+01   -1.7017418E+00   -2.4224290E+00   -1.6031225E+00   -2.9479442E+00   -4.2927615E+00   -1.6002151E+00   -7.9999999E+00    7.3673357E-02    8.5513118E-08   -2.6888963E+00   -2.1213547E+00
    1.1800000E-01    1.2153507E+01   -1.2074257E+01   -1.6904587E+00   -2.4076615E+00   -1.6042425E+00   -2.9490238E+00   -4.2938176E+00   -1.6013169E+00   -7.9999999E+00    7.3481594E-02    8.7884356E-08   -2.6888975E+00   -2.1065887E+00
    1.2200000E-01    1.2167818E+01   -1.2088590E+01   -1.6794754E+00   -2.3933980E+00   -1.6053639E+00   -2.9501047E+00   -4.2948756E+00   -1.6024201E+00   -7.9999999E+00    7.3289996E-02    9.0218323E-08   -2.6888986E+00   -2.0923266E+00
