# Time          2.5000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.0000000E-03   -9.5844180E-05    4.9401481E-03    4.7537027E-05    2.6772782E-02    1.2072130E-03    5.4457242E-05    2.6922337E-02    1.0000000E-08    1.1998099E+00    1.0000000E+00    2.0471257E-03
    6.0000000E-03   -2.8591137E-04    5.3202825E-03    1.4257062E-04    2.6726187E-02    1.2051675E-03    5.4371642E-05    2.6876029E-02    1.0000000E-08    1.1994297E+00    1.0000000E+00    2.0471172E-03
    1.0000000E-02   -4.7589779E-04    5.7002553E-03    2.3756383E-04    2.6679612E-02    1.2031229E-03    5.4285958E-05    2.6829742E-02    1.0000000E-08    1.1990497E+00    1.0000000E+00    2.0471088E-03
    1.4000000E-02   -6.6580260E-04    6.0800649E-03    3.3251623E-04    2.6633057E-02    1.2010792E-03    5.4200193E-05    2.6783474E-02    1.0000000E-08    1.1986699E+00    1.0000000E+00    2.0471005E-03
    1.8000000E-02   -8.5562494E-04    6.4597096E-03    4.2742740E-04    2.6586522E-02    1.1990363E-03    5.4114349E-05    2.6737226E-02    1.0000000E-08    1.1982903E+00    1.0000000E+00    2.0470924E-03
    2.2000000E-02   -1.0453640E-03    6.8391877E-03    5.2229692E-04    2.6540008E-02    1.1969943E-03    5.4028427E-05    2.6690998E-02    1.0000000E-08    1.1979108E+00    1.0000000E+00    2.0470844E-03
    2.6000000E-02   -1.2350188E-03    7.2184974E-03    6.1712436E-04    2.6493515E-02    1.1949531E-03    5.3942430E-05    2.6644791E-02    1.0000000E-08    1.1975315E+00    1.0000001E+00    2.0470765E-03
    3.0000000E-02   -1.4245887E-03    7.5976372E-03    7.1190930E-04    2.6447043E-02    1.1929128E-03    5.3856359E-05    2.6598605E-02    1.0000000E-08    1.1971524E+00    1.0000001E+00    2.0470687E-03
    3.4000000E-02   -1.6140728E-03    7.9766053E-03    8.0665132E-04    2.6400592E-02    1.1908735E-03    5.3770216E-05    2.6552439E-02    1.0000000E-08    1.1967734E+00    1.0000001E+00    2.0470610E-03
    3.8000000E-02   -1.8034701E-03    8.3554000E-03    9.0134999E-04    2.6354163E-02    1.1888350E-03    5.3684004E-05    2.6506294E-02    1.0000000E-08    1.1963946E+00    1.0000001E+00    2.0470534E-03
    4.2000000E-02   -1.9927799E-03    8.7340196E-03    9.9600490E-04    2.6307755E-02    1.1867975E-03    5.3597723E-05    2.6460171E-02    1.0000000E-08    1.1960160E+00    1.0000001E+00    2.0470460E-03
    4.6000000E-02   -2.1820014E-03    9.1124625E-03    1.0906156E-03    2.6261369E-02    1.1847608E-03    5.3511376E-05    2.6414069E-02    1.0000000E-08    1.1956375E+00    1.0000001E+00    2.0470386E-03
    5.0000000E-02   -2.3711336E-03    9.4907269E-03    1.1851817E-03    2.6215006E-02    1.1827251E-03    5.3424965E-05    2.6367988E-02    1.0000000E-08    1.1952593E+00    1.0000001E+00    2.0470314E-03
    5.4000000E-02   -2.5601757E-03    9.8688112E-03    1.2797028E-03    2.6168665E-02    1.1806903E-03    5.3338492E-05    2.6321930E-02    1.0000000E-08    1.1948812E+00    1.0000001E+00    2.0470242E-03
    5.8000000E-02   -2.7491270E-03    1.0246714E-02    1.3741784E-03    2.6122346E-02    1.1786565E-03    5.3251958E-05    2.6275893E-02    1.0000000E-08    1.1945033E+00    1.0000001E+00    2.0470172E-03
    6.2000000E-02   -2.9379865E-03    1.0624433E-02    1.4686082E-03    2.6076050E-02    1.1766237E-03    5.3165365E-05    2.6229879E-02    1.0000000E-08    1.1941256E+00    1.0000001E+00    2.0470103E-03
    6.6000000E-02   -3.1267534E-03    1.1001966E-02    1.5629916E-03    2.6029776E-02    1.1745918E-03    5.3078714E-05    2.6183888E-02    1.0000000E-08    1.1937480E+00    1.0000001E+00    2.0470034E-03
    7.0000000E-02   -3.3154268E-03    1.1379313E-02    1.6573284E-03    2.5983526E-02    1.1725608E-03    5.2992008E-05    2.6137919E-02    1.0000000E-08    1.1933707E+00    1.0000001E+00    2.0469967E-03
    7.4000000E-02   -3.5040060E-03    1.1756472E-02    1.7516179E-03    2.5937300E-02    1.1705309E-03    5.2905249E-05    2.6091972E-02    1.0000000E-08    1.1929935E+00    1.0000001E+00    2.0469901E-03
    7.8000000E-02   -3.6924900E-03    1.2133440E-02    1.8458600E-03    2.5891097E-02    1.1685020E-03    5.2818437E-05    2.6046049E-02    1.0000000E-08    1.1926166E+00    1.0000001E+00    2.0469836E-03
    8.2000000E-02   -3.8808781E-03    1.2510216E-02    1.9400540E-03    2.5844917E-02    1.1664740E-03    5.2731576E-05    2.6000149E-02    1.0000000E-08    1.1922398E+00    1.0000002E+00    2.0469771E-03
    8.6000000E-02   -4.0691694E-03    1.2886799E-02    2.0341996E-03    2.5798762E-02    1.1644471E-03    5.2644665E-05    2.5954273E-02    1.0000000E-08    1.1918632E+00    1.0000002E+00    2.0469708E-03
    9.0000000E-02   -4.2573630E-03    1.3263186E-02    2.1282964E-03    2.5752630E-02    1.1624212E-03    5.2557708E-05    2.5908420E-02    1.0000000E-08    1.1914868E+00    1.0000002E+00    2.0469646E-03
    9.4000000E-02   -4.4454581E-03    1.3639376E-02    2.2223440E-03    2.5706524E-02    1.1603963E-03    5.2470705E-05    2.5862592E-02    1.0000000E-08    1.1911106E+00    1.0000002E+00    2.0469584E-03
    9.8000000E-02   -4.6334539E-03    1.4015368E-02    2.3163419E-03    2.5660441E-02    1.1583724E-03    5.2383658E-05    2.5816787E-02    1.0000000E-08    1.1907346E+00    1.0000002E+00    2.0469524E-03
    1.0200000E-01   -4.8213496E-03    1.4391159E-02    2.4102897E-03    2.5614384E-02    1.1563496E-03    5.2296570E-05    2.5771007E-02    1.0000000E-08    1.1903588E+00    1.0000002E+00    2.0469464E-03
    1.0600000E-01   -5.0091442E-03    1.4766748E-02    2.5041870E-03    2.5568351E-02    1.1543279E-03    5.2209441E-05    2.5725251E-02    1.0000000E-08    1.1899833E+00    1.0000002E+00    2.0469406E-03
    1.1000000E-01   -5.1968369E-03    1.5142134E-02    2.5980334E-03    2.5522344E-02    1.1523072E-03    5.2122273E-05    2.5679519E-02    1.0000000E-08    1.1896079E+00    1.0000002E+00    2.0469348E-03
    1.1400000E-01   -5.3844270E-03    1.5517314E-02    2.6918284E-03    2.5476362E-02    1.1502876E-03    5.2035067E-05    2.5633813E-02    1.0000000E-08    1.1892327E+00    1.0000002E+00    2.0469291E-03
    1.1800000E-01   -5.5719136E-03    1.5892287E-02    2.7855717E-03    2.5430406E-02    1.1482691E-03    5.1947826E-05    2.5588132E-02    1.0000000E-08    1.1888577E+00    1.0000002E+00    2.0469235E-03
    1.2200000E-01   -5.7592958E-03    1.6267051E-02    2.8792628E-03    2.5384475E-02    1.1462516E-03    5.1860551E-05    2.5542476E-02    1.0000000E-08    1.1884829E+00    1.0000002E+00    2.0469179E-03
    1.2600000E-01   -5.9465727E-03    1.6641605E-02    2.9729013E-03    2.5338570E-02    1.1442353E-03    5.1773243E-05    2.5496846E-02    1.0000000E-08    1.1881084E+00    1.0000002E+00    2.0469125E-03
    1.3000000E-01   -6.1337437E-03    1.7015947E-02    3.0664868E-03    2.5292692E-02    1.1422201E-03    5.1685904E-05    2.5451241E-02    1.0000000E-08    1.1877341E+00    1.0000002E+00    2.0469071E-03
    1.3400000E-01   -6.3208078E-03    1.7390075E-02    3.1600188E-03    2.5246840E-02    1.1402060E-03    5.1598535E-05    2.5405662E-02    1.0000000E-08    1.1873599E+00    1.0000002E+00    2.0469019E-03
    1.3800000E-01   -6.5077642E-03    1.7763988E-02    3.2534970E-03    2.5201015E-02    1.1381930E-03    5.1511138E-05    2.5360110E-02    1.0000000E-08    1.1869860E+00    1.0000002E+00    2.0468967E-03
    1.4200000E-01   -6.6946120E-03    1.8137684E-02    3.3469209E-03    2.5155217E-02    1.1361812E-03    5.1423714E-05    2.5314583E-02    1.0000000E-08    1.1866123E+00    1.0000002E+00    2.0468916E-03
    1.4600000E-01   -6.8813505E-03    1.8511161E-02    3.4402902E-03    2.5109446E-02    1.1341705E-03    5.1336265E-05    2.5269084E-02    1.0000000E-08    1.1862388E+00    1.0000002E+00    2.0468865E-03
    1.5000000E-01   -7.0679787E-03    1.8884417E-02    3.5336043E-03    2.5063701E-02    1.1321609E-03    5.1248792E-05    2.5223611E-02    1.0000000E-08    1.1858656E+00    1.0000002E+00    2.0468816E-03
    1.5400000E-01   -7.2544960E-03    1.9257452E-02    3.6268629E-03    2.5017985E-02    1.1301526E-03    5.1161297E-05    2.5178164E-02    1.0000000E-08    1.1854925E+00    1.0000003E+00    2.0468767E-03
    1.5800000E-01   -7.4409013E-03    1.9630262E-02    3.7200656E-03    2.4972296E-02    1.1281454E-03    5.1073781E-05    2.5132745E-02    1.0000000E-08    1.1851197E+00    1.0000003E+00    2.0468719E-03
    1.6200000E-01   -7.6271940E-03    2.0002848E-02    3.8132119E-03    2.4926635E-02    1.1261393E-03    5.0986245E-05    2.5087354E-02    1.0000000E-08    1.1847472E+00    1.0000003E+00    2.0468672E-03
    1.6600000E-01   -7.8133731E-03    2.0375206E-02    3.9063015E-03    2.4881002E-02    1.1241345E-03    5.0898691E-05    2.5041990E-02    1.0000000E-08    1.1843748E+00    1.0000003E+00    2.0468625E-03
    1.7000000E-01   -7.9994379E-03    2.0747336E-02    3.9993339E-03    2.4835397E-02    1.1221309E-03    5.0811120E-05    2.4996653E-02    1.0000000E-08    1.1840027E+00    1.0000003E+00    2.0468579E-03
    1.7400000E-01   -8.1853875E-03    2.1119235E-02    4.0923087E-03    2.4789821E-02    1.1201284E-03    5.0723534E-05    2.4951345E-02    1.0000000E-08    1.1836308E+00    1.0000003E+00    2.0468534E-03
    1.7800000E-01   -8.3712211E-03    2.1490902E-02    4.1852255E-03    2.4744273E-02    1.1181272E-03    5.0635934E-05    2.4906064E-02    1.0000000E-08    1.1832591E+00    1.0000003E+00    2.0468490E-03
    1.8200000E-01   -8.5569379E-03    2.1862336E-02    4.2780839E-03    2.4698754E-02    1.1161272E-03    5.0548321E-05    2.4860812E-02    1.0000000E-08    1.1828877E+00    1.0000003E+00    2.0468446E-03
    1.8600000E-01   -8.7425371E-03    2.2233534E-02    4.3708835E-03    2.4653265E-02    1.1141285E-03    5.0460697E-05    2.4815589E-02    1.0000000E-08    1.1825165E+00    1.0000003E+00    2.0468403E-03
    1.9000000E-01   -8.9280177E-03    2.2604495E-02    4.4636238E-03    2.4607804E-02    1.1121310E-03    5.0373063E-05    2.4770394E-02    1.0000000E-08    1.1821455E+00    1.0000003E+00    2.0468361E-03
    1.9400000E-01   -9.1133790E-03    2.2975218E-02    4.5563045E-03    2.4562373E-02    1.1101347E-03    5.0285420E-05    2.4725228E-02    1.0000000E-08    1.1817748E+00    1.0000003E+00    2.0468319E-03
    1.9800000E-01   -9.2986203E-03    2.3345700E-02    4.6489251E-03    2.4516972E-02    1.1081397E-03    5.0197770E-05    2.4680091E-02    1.0000000E-08    1.1814043E+00    1.0000003E+00    2.0468278E-03
    2.0200000E-01   -9.4837406E-03    2.3715941E-02    4.7414852E-03    2.4471601E-02    1.1061460E-03    5.0110113E-05    2.4634984E-02    1.0000000E-08    1.1810341E+00    1.0000003E+00    2.0468237E-03
    2.0600000E-01   -9.6687391E-03    2.4085938E-02    4.8339845E-03    2.4426260E-02    1.1041536E-03    5.0022452E-05    2.4589906E-02    1.0000000E-08    1.1806641E+00    1.0000003E+00    2.0468198E-03
    2.1000000E-01   -9.8536150E-03    2.4455690E-02    4.9264225E-03    2.4380949E-02    1.1021624E-03    4.9934787E-05    2.4544858E-02    1.0000000E-08    1.1802943E+00    1.0000003E+00    2.0468159E-03
    2.1400000E-01   -1.0038368E-02    2.4825195E-02    5.0187987E-03    2.4335668E-02    1.1001725E-03    4.9847120E-05    2.4499839E-02    1.0000000E-08    1.1799248E+00    1.0000003E+00    2.0468120E-03
    2.1800000E-01   -1.0222996E-02    2.5194452E-02    5.1111129E-03    2.4290418E-02    1.0981840E-03    4.9759452E-05    2.4454851E-02    1.0000000E-08    1.1795555E+00    1.0000003E+00    2.0468082E-03
    2.2200000E-01   -1.0407499E-02    2.5563458E-02    5.2033646E-03    2.4245200E-02    1.0961967E-03    4.9671783E-05    2.4409893E-02    1.0000000E-08    1.1791865E+00    1.0000003E+00    2.0468045E-03
    2.2600000E-01   -1.0591877E-02    2.5932213E-02    5.2955533E-03    2.4200012E-02    1.0942108E-03    4.9584117E-05    2.4364966E-02    1.0000000E-08    1.1788178E+00    1.0000003E+00    2.0468009E-03
    2.3000000E-01   -1.0776128E-02    2.6300715E-02    5.3876787E-03    2.4154855E-02    1.0922262E-03    4.9496452E-05    2.4320069E-02    1.0000000E-08    1.1784493E+00    1.0000003E+00    2.0467973E-03
    2.3400000E-01   -1.0960251E-02    2.6668962E-02    5.4797404E-03    2.4109730E-02    1.0902429E-03    4.9408792E-05    2.4275204E-02    1.0000000E-08    1.1780810E+00    1.0000003E+00    2.0467937E-03
    2.3800000E-01   -1.1144246E-02    2.7036952E-02    5.5717380E-03    2.4064637E-02    1.0882610E-03    4.9321136E-05    2.4230369E-02    1.0000000E-08    1.1777130E+00    1.0000003E+00    2.0467902E-03
    2.4200000E-01   -1.1328112E-02    2.7404684E-02    5.6636710E-03    2.4019575E-02    1.0862805E-03    4.9233487E-05    2.4185566E-02    1.0000000E-08    1.1773453E+00    1.0000003E+00    2.0467868E-03
