# Time          1.0000E+00
# Units:           Transport Porosity  Mineral Porosity
    2.0000000E-03    8.0000000E-01    1.0000000E+00
    6.0000000E-03    8.0000000E-01    1.0000000E+00
    1.0000000E-02    8.0000000E-01    1.0000000E+00
    1.4000000E-02    8.0000000E-01    1.0000000E+00
    1.8000000E-02    8.0000000E-01    1.0000000E+00
    2.2000000E-02    8.0000000E-01    1.0000000E+00
    2.6000000E-02    8.0000000E-01    1.0000000E+00
    3.0000000E-02    8.0000000E-01    1.0000000E+00
    3.4000000E-02    8.0000000E-01    1.0000000E+00
    3.8000000E-02    8.0000000E-01    1.0000000E+00
    4.2000000E-02    8.0000000E-01    1.0000000E+00
    4.6000000E-02    8.0000000E-01    1.0000000E+00
    5.0000000E-02    8.0000000E-01    1.0000000E+00
    5.4000000E-02    8.0000000E-01    1.0000000E+00
    5.8000000E-02    8.0000000E-01    1.0000000E+00
    6.2000000E-02    8.0000000E-01    1.0000000E+00
    6.6000000E-02    8.0000000E-01    1.0000000E+00
    7.0000000E-02    8.0000000E-01    1.0000000E+00
    7.4000000E-02    8.0000000E-01    1.0000000E+00
    7.8000000E-02    8.0000000E-01    1.0000000E+00
    8.2000000E-02    8.0000000E-01    1.0000000E+00
    8.6000000E-02    8.0000000E-01    1.0000000E+00
    9.0000000E-02    8.0000000E-01    1.0000000E+00
    9.4000000E-02    8.0000000E-01    1.0000000E+00
    9.8000000E-02    8.0000000E-01    1.0000000E+00
    1.0200000E-01    8.0000000E-01    1.0000000E+00
    1.0600000E-01    8.0000000E-01    1.0000000E+00
    1.1000000E-01    8.0000000E-01    1.0000000E+00
    1.1400000E-01    8.0000000E-01    1.0000000E+00
    1.1800000E-01    8.0000000E-01    1.0000000E+00
    1.2200000E-01    8.0000000E-01    1.0000000E+00
    1.2600000E-01    8.0000000E-01    1.0000000E+00
    1.3000000E-01    8.0000000E-01    1.0000000E+00
    1.3400000E-01    8.0000000E-01    1.0000000E+00
    1.3800000E-01    8.0000000E-01    1.0000000E+00
    1.4200000E-01    8.0000000E-01    1.0000000E+00
    1.4600000E-01    8.0000000E-01    1.0000000E+00
    1.5000000E-01    8.0000000E-01    1.0000000E+00
