# Time          5.0000E+02
# Units: Mol/kgw
    Distance        SO4--            SO164--         
    2.0000000E-03    9.9864401E-03    9.9866488E-03
    6.0000000E-03    9.9593951E-03    9.9600192E-03
    1.0000000E-02    9.9324247E-03    9.9334620E-03
    1.4000000E-02    9.9055287E-03    9.9069769E-03
    1.8000000E-02    9.8787068E-03    9.8805639E-03
    2.2000000E-02    9.8519589E-03    9.8542226E-03
    2.6000000E-02    9.8252847E-03    9.8279530E-03
    3.0000000E-02    9.7986840E-03    9.8017548E-03
    3.4000000E-02    9.7721567E-03    9.7756278E-03
    3.8000000E-02    9.7457026E-03    9.7495719E-03
    4.2000000E-02    9.7193214E-03    9.7235868E-03
    4.6000000E-02    9.6930129E-03    9.6976724E-03
    5.0000000E-02    9.6667770E-03    9.6718285E-03
    5.4000000E-02    9.6406135E-03    9.6460548E-03
    5.8000000E-02    9.6145222E-03    9.6203513E-03
    6.2000000E-02    9.5885028E-03    9.5947177E-03
    6.6000000E-02    9.5625552E-03    9.5691537E-03
    7.0000000E-02    9.5366791E-03    9.5436594E-03
    7.4000000E-02    9.5108745E-03    9.5182344E-03
    7.8000000E-02    9.4851410E-03    9.4928785E-03
    8.2000000E-02    9.4594786E-03    9.4675917E-03
    8.6000000E-02    9.4338870E-03    9.4423736E-03
    9.0000000E-02    9.4083659E-03    9.4172242E-03
    9.4000000E-02    9.3829153E-03    9.3921432E-03
    9.8000000E-02    9.3575350E-03    9.3671305E-03
    1.0200000E-01    9.3322247E-03    9.3421858E-03
    1.0600000E-01    9.3069842E-03    9.3173090E-03
    1.1000000E-01    9.2818134E-03    9.2924999E-03
    1.1400000E-01    9.2567121E-03    9.2677584E-03
    1.1800000E-01    9.2316800E-03    9.2430842E-03
    1.2200000E-01    9.2067171E-03    9.2184772E-03
    1.2600000E-01    9.1818231E-03    9.1939372E-03
    1.3000000E-01    9.1569978E-03    9.1694639E-03
    1.3400000E-01    9.1322411E-03    9.1450574E-03
    1.3800000E-01    9.1075527E-03    9.1207172E-03
    1.4200000E-01    9.0829325E-03    9.0964434E-03
    1.4600000E-01    9.0583803E-03    9.0722356E-03
    1.5000000E-01    9.0338958E-03    9.0480938E-03
    1.5400000E-01    9.0094790E-03    9.0240178E-03
    1.5800000E-01    8.9851297E-03    9.0000073E-03
    1.6200000E-01    8.9608476E-03    8.9760622E-03
    1.6600000E-01    8.9366325E-03    8.9521823E-03
    1.7000000E-01    8.9124844E-03    8.9283675E-03
    1.7400000E-01    8.8884029E-03    8.9046176E-03
    1.7800000E-01    8.8643880E-03    8.8809324E-03
    1.8200000E-01    8.8404395E-03    8.8573117E-03
    1.8600000E-01    8.8165571E-03    8.8337554E-03
    1.9000000E-01    8.7927407E-03    8.8102633E-03
    1.9400000E-01    8.7689901E-03    8.7868352E-03
    1.9800000E-01    8.7453052E-03    8.7634710E-03
    2.0200000E-01    8.7216857E-03    8.7401704E-03
    2.0600000E-01    8.6981315E-03    8.7169333E-03
    2.1000000E-01    8.6746424E-03    8.6937596E-03
    2.1400000E-01    8.6512183E-03    8.6706491E-03
    2.1800000E-01    8.6278589E-03    8.6476016E-03
    2.2200000E-01    8.6045640E-03    8.6246169E-03
    2.2600000E-01    8.5813336E-03    8.6016949E-03
    2.3000000E-01    8.5581674E-03    8.5788354E-03
    2.3400000E-01    8.5350653E-03    8.5560382E-03
    2.3800000E-01    8.5120270E-03    8.5333032E-03
    2.4200000E-01    8.4890525E-03    8.5106302E-03
    2.4600000E-01    8.4661415E-03    8.4880191E-03
    2.5000000E-01    8.4432938E-03    8.4654696E-03
    2.5400000E-01    8.4205094E-03    8.4429817E-03
    2.5800000E-01    8.3977879E-03    8.4205551E-03
    2.6200000E-01    8.3751294E-03    8.3981896E-03
    2.6600000E-01    8.3525335E-03    8.3758853E-03
    2.7000000E-01    8.3300001E-03    8.3536417E-03
    2.7400000E-01    8.3075291E-03    8.3314589E-03
    2.7800000E-01    8.2851203E-03    8.3093366E-03
    2.8200000E-01    8.2627735E-03    8.2872747E-03
    2.8600000E-01    8.2404885E-03    8.2652730E-03
    2.9000000E-01    8.2182652E-03    8.2433314E-03
    2.9400000E-01    8.1961034E-03    8.2214497E-03
    2.9800000E-01    8.1740029E-03    8.1996277E-03
    3.0200000E-01    8.1519637E-03    8.1778653E-03
    3.0600000E-01    8.1299854E-03    8.1561623E-03
    3.1000000E-01    8.1080680E-03    8.1345186E-03
    3.1400000E-01    8.0862113E-03    8.1129340E-03
    3.1800000E-01    8.0644151E-03    8.0914083E-03
    3.2200000E-01    8.0426792E-03    8.0699414E-03
    3.2600000E-01    8.0210036E-03    8.0485332E-03
    3.3000000E-01    7.9993880E-03    8.0271835E-03
    3.3400000E-01    7.9778322E-03    8.0058920E-03
    3.3800000E-01    7.9563362E-03    7.9846588E-03
    3.4200000E-01    7.9348997E-03    7.9634836E-03
    3.4600000E-01    7.9135226E-03    7.9423662E-03
    3.5000000E-01    7.8922047E-03    7.9213065E-03
    3.5400000E-01    7.8709459E-03    7.9003044E-03
    3.5800000E-01    7.8497460E-03    7.8793597E-03
    3.6200000E-01    7.8286048E-03    7.8584723E-03
    3.6600000E-01    7.8075223E-03    7.8376420E-03
    3.7000000E-01    7.7864981E-03    7.8168686E-03
    3.7400000E-01    7.7655323E-03    7.7961520E-03
    3.7800000E-01    7.7446246E-03    7.7754920E-03
    3.8200000E-01    7.7237748E-03    7.7548886E-03
    3.8600000E-01    7.7029828E-03    7.7343414E-03
    3.9000000E-01    7.6822485E-03    7.7138505E-03
    3.9400000E-01    7.6615717E-03    7.6934157E-03
    3.9800000E-01    7.6409522E-03    7.6730367E-03
    4.0200000E-01    7.6203899E-03    7.6527135E-03
    4.0600000E-01    7.5998846E-03    7.6324459E-03
    4.1000000E-01    7.5794362E-03    7.6122337E-03
    4.1400000E-01    7.5590446E-03    7.5920769E-03
    4.1800000E-01    7.5387095E-03    7.5719752E-03
    4.2200000E-01    7.5184308E-03    7.5519285E-03
    4.2600000E-01    7.4982084E-03    7.5319367E-03
    4.3000000E-01    7.4780421E-03    7.5119997E-03
    4.3400000E-01    7.4579318E-03    7.4921172E-03
    4.3800000E-01    7.4378773E-03    7.4722891E-03
    4.4200000E-01    7.4178784E-03    7.4525154E-03
    4.4600000E-01    7.3979351E-03    7.4327957E-03
    4.5000000E-01    7.3780471E-03    7.4131301E-03
    4.5400000E-01    7.3582144E-03    7.3935184E-03
    4.5800000E-01    7.3384367E-03    7.3739603E-03
    4.6200000E-01    7.3187139E-03    7.3544559E-03
    4.6600000E-01    7.2990459E-03    7.3350049E-03
    4.7000000E-01    7.2794326E-03    7.3156071E-03
    4.7400000E-01    7.2598737E-03    7.2962625E-03
    4.7800000E-01    7.2403691E-03    7.2769710E-03
    4.8200000E-01    7.2209187E-03    7.2577323E-03
    4.8600000E-01    7.2015224E-03    7.2385463E-03
    4.9000000E-01    7.1821799E-03    7.2194129E-03
    4.9400000E-01    7.1628912E-03    7.2003320E-03
    4.9800000E-01    7.1436561E-03    7.1813034E-03
    5.0200000E-01    7.1244745E-03    7.1623269E-03
    5.0600000E-01    7.1053462E-03    7.1434025E-03
    5.1000000E-01    7.0862710E-03    7.1245300E-03
    5.1400000E-01    7.0672489E-03    7.1057093E-03
    5.1800000E-01    7.0482796E-03    7.0869402E-03
    5.2200000E-01    7.0293632E-03    7.0682225E-03
    5.2600000E-01    7.0104993E-03    7.0495563E-03
    5.3000000E-01    6.9916878E-03    7.0309412E-03
    5.3400000E-01    6.9729287E-03    7.0123772E-03
    5.3800000E-01    6.9542218E-03    6.9938642E-03
    5.4200000E-01    6.9355669E-03    6.9754020E-03
    5.4600000E-01    6.9169640E-03    6.9569904E-03
    5.5000000E-01    6.8984127E-03    6.9386294E-03
    5.5400000E-01    6.8799131E-03    6.9203188E-03
    5.5800000E-01    6.8614650E-03    6.9020585E-03
    5.6200000E-01    6.8430682E-03    6.8838483E-03
    5.6600000E-01    6.8247227E-03    6.8656882E-03
    5.7000000E-01    6.8064282E-03    6.8475779E-03
    5.7400000E-01    6.7881846E-03    6.8295173E-03
    5.7800000E-01    6.7699919E-03    6.8115064E-03
    5.8200000E-01    6.7518498E-03    6.7935450E-03
    5.8600000E-01    6.7337582E-03    6.7756329E-03
    5.9000000E-01    6.7157170E-03    6.7577700E-03
    5.9400000E-01    6.6977260E-03    6.7399563E-03
    5.9800000E-01    6.6797852E-03    6.7221915E-03
    6.0200000E-01    6.6618944E-03    6.7044755E-03
    6.0600000E-01    6.6440534E-03    6.6868082E-03
    6.1000000E-01    6.6262621E-03    6.6691895E-03
    6.1400000E-01    6.6085204E-03    6.6516193E-03
    6.1800000E-01    6.5908282E-03    6.6340974E-03
    6.2200000E-01    6.5731853E-03    6.6166237E-03
    6.2600000E-01    6.5555915E-03    6.5991980E-03
